"Comp","Mützenmacherei und Furnituren für Hutmacher","Handel","38","Rue Aumaire","Rue Au Maire"
"Comp","Kammmacher","Handel","18","Rue Bergère","Rue Bergère"
"Comp","Speditionshandel","Beamte","26","Rue Buffault","Rue Buffault"
"Comp","Federn und Schlösser für Wagen und Eisenbahnen","Handel","11","Rue Buffault","Rue Buffault"
"Comp","Fabrikant v. hydraulischem Kalk","Beamte","9","Rue Cassette","Rue Cassette"
"Comp","Orgelbauer","Handel","57","Rue Charlot","Rue Charlot"
"Comp","Apparate für Daguerreotyp-Bilder / Lichtbildermaler","Beamte","50","Rue Saint-georges","Rue Saint-georges"
"Comp","Gesellschaft für Anfertigung musikalischer Messing- und Holzinstrumente","Selbständig","4","Rue Geoffroy-marie","Rue Geoffroy-marie"
"Comp","Comptoir für die Umsetzung der Industriepapiere","Beamte","1","Rue Jacques-de-brosse",NULL
"Comp","Holländische Käse u. feine Branntweine","Beamte","1","Rue Joquelet","Rue Léon-cladel"
"Comp","Schneider","Handel","24","Rue Laffitte","Rue Laffitte"
"Comp","Juwelenhandel","Beamte","22","Rue Lamartine","Rue Lamartine"
"Vater Comp","Mechanicus, Bleigießer u. Spitzenmacher","Handel","20","Rue Lepelletier","Rue Le Peletier"
"Jn Comp","Kaufmann","Beamte","5","Rue Mauconseil","Rue Mauconseil"
"Witwe Comp","Hosenträger-, Strumpfbänder-,Börsen-, Taschen- und Kamaschen-Fabrikant","Handel","16","Rue Meslay","Rue Meslay"
"Comp","Kaufleute, Bronce u. Ultramarin","Beamte","20","Rue Meslay","Rue Meslay"
"Comp","Fab. de mastic Dihl","Handel","39","Rue Montmartre","Rue Montmartre"
"Franck Jn Comp","Modewaaren","Beamte","8","Rue Neuve-du-bourg-l' Abbé","Rue Du Bourg L' Abbé"
"Comp","Commissions- u. Lithographiesteinhandel","Beamte","12","Rue Neuve-du-bourg-l' Abbé","Rue Du Bourg L' Abbé"
"Comp","Korsetten, Hemden, Weißzeughandlung","Beamte","11","Rue Neuve-saint-augustin","Rue Daunou"
"Pollock Comp Vonertreten Vonon E Delevoninge","Commissionäre","Beamte","15","Rue Pavée-au-marais","Rue Pavée"
"Comp","Standuhrensockelfabrik","Handel","15","Rue Pétrelle","Rue Pétrelle"
"Comp","Gasmesserfabrik","Handel","76","Rue Popincourt","Rue Popincourt"
"Comp","Eisengießerei","Handel","20","Rue Rambuteau","Rue Rambuteau"
"Comp","Säckler u. Mützenmacher","Handel","11","Rue Rameau","Rue Rameau"
"Comp","Artikel für Schneider","Beamte","364","Rue Saint-denis","Rue Saint-denis"
"Comp","Handschuhfabrik","Handel","9","Rue Saint-fiacre","Rue Saint-fiacre"
"Comp","Wachstuchhandel","Beamte","4","Rue Saint-fiacre","Rue Saint-fiacre"
"Comp","Stoffwäscherei","Handel","28","Rue Saint-georges","Rue Saint-georges"
"Comp","Bankier","Beamte","38","Rue Saint-georges","Rue Saint-georges"
"Comp","Bankier","Beamte","136","Rue Du Faubourg Poissonnière","Rue Du Faubourg-poissonnière"
"Comp","Baumeister u. Errichter von Gaswerken","Selbständig","271","Rue Saint-martin","Rue Saint-martin"
"Comp","Stoffdruckerei","Handel","163","Rue Saint-martin","Rue Saint-martin"
"Comp","Artikel von Rouen im Großen","Beamte","192","Rue Saint-martin","Rue Saint-martin"
"Comp","Brieftaschen u. Etuis","Beamte","176","Rue Saint-martin","Rue Saint-martin"
"Sen Comp","Artikel von Rouen","Beamte","74","Rue Saint-maur-popincourt","Rue Saint-maur"
"Comp","Mechaniker","Handel","28","Rue Saint-paul","Rue Saint-paul"
"Oeschger Meßbach Comp","Metallhandel","Beamte","8","Rue Saint-sabin","Rue Saint-sabin"
"Comp","Stoffdruckerei","Handel","22","Rue Saint-sauveur","Rue Saint-sauveur"
"Comp","Commissionär","Beamte","29","Rue Du Faubourg-du-temple","Rue Du Faubourg-du-temple"
"Comp","Unternehmer der Ausleerung","Selbständig","120","Rue Du Faubourg-saint-martin","Rue Du Faubourg-saint-martin"
"Comp","Geruchlose Reinigung der Abtritte","Selbständig","38","Rue Taitbout","Rue Taitbout"
"Comp","Klaviermacher","Handel","25","Rue Thévenot","Rue Réaumur"
"Gebrüder Comp","Commissionsgeschäft in gewirkten Waaren","Beamte","10","Rue Tronchet","Rue Tronchet"
"Comp","Pelzwaaren","Beamte","20","Rue Vendôme","Rue Béranger"
"Jn Comp","Commissionsgeschäft in Uhren","Beamte","18","Rue Vivienne","Rue Vivienne"
"Comp","Buchhandlung u. Lesekabinet","Beamte","26","Rue Vivienne","Rue Vivienne"
"Comp","Geldwechsler","Beamte","15","Rue Des Deux-portes-saint-sauveur","Rue Dussoubs"
"Comp","Kaffeehaus Thoniach","Selbständig","47","Avenue De Saint-cloud","Avenue Victor-hugo"
"Comp","Wagner","Handel","38","Boulevard Beaumarchais","Boulevard Beaumarchais"
"Comp","Papier-Niederlage","Beamte","28","Boulevard Bonne-nouvelle","Boulevard De Bonne-nouvelle"
"Comp","Commissionär","Beamte","18","Boulevard Des Invalides","Boulevard Des Invalides"
"Comp","Brennholtz, Stein- u. Holzkohlenhandel","Beamte","5","Boulevard Montmartre","Boulevard Montmartre"
"Comp","Weinhandlung in Großem","Beamte","6","Boulevard Montmartre","Boulevard Montmartre"
"Comp","Handelsmann","Beamte","23","Boulevard Poissonière","Boulevard Poissonnière"
"Comp","Bankier","Beamte","23","Boulevard Poissonière","Boulevard Poissonnière"
"Comp","Brüderschafts-Verein v. den Limonade-Händlern zur Großen Familie","Selbständig","108","Rue Saint-martin","Rue Saint-martin"
"Comp","Thürschließer","Handel","8","Cour Des Miracles",NULL
"Sohn Comp Vonon Mühlhasen",NULL,"Beamte","4","Impasse De Mazagran","Rue De Mazagran"
"Comp","Buchbinder","Handel","3","Passage Dauphine","Passage Dauphine"
"Comp","Ungarische Ledergerberei","Handel","14","Petite Rue De Reuilly","Rue Érard"
"Wtb Urban Stterlin Comp","Unternehmer und Eigenthümer der Manufactur von Mutzig, Depot","Selbständig","12","Rue De La Culture-sainte-catherine","Rue Elzévir"
"Comp","Commissions- u. Speditionsgeschäft","Beamte","3","Place Des Victoires","Place Des Victoires"
"Comp","Eigenthümer von Granitbrüchen","Beamte","52","Quai De Jemmapes","Quai De Jemmapes"
"Comp","Fabrik v. Farbehözern","Handel","129","Route De Montreuil","Rue D' Avron"
"Comp","Papierhandlung","Beamte","23","Rue De Cléry","Rue De Cléry"
"Comp","Töpfefabrik","Handel","18","Rue Basfroi","Rue Basfroi"
"Comp","Bankier","Beamte","17","Rue Bergère","Rue Bergère"
"Comp","Repräsentanten verschiedener Häuser Deutschlands, Belgiens u. der Schweiz","Beamte","32","Rue D' Hauteville","Rue D' Hauteville"
"Comp","Bankier","Beamte","26","Rue De La Chaussée D' Antin","Rue De La Chaussée D' Antin"
"Comp","Bankier","Beamte","22","Rue De La Chaussée D' Antin","Rue De La Chaussée D' Antin"
"Comp","Lithographiestein-Handlung","Beamte","4","Rue De Savoie","Rue De Savoie"
"Comp","Buchhandel im Großen","Beamte","21","Rue Des Bons-enfants","Rue Des Bons-enfants"
"Comp","Fremde Wollwaaren","Beamte","95","Rue Des Marais",NULL
"Comp","Bankier- und Commissionshandel","Beamte","15","Rue Laffitte","Rue Laffitte"
"Gebrüder Comp","Waaren-Commissionäre","Beamte","24","Rue Martel","Rue Martel"
"Comp",NULL,"Beamte","10","Rue Notre-dame-des-victoires","Rue Notre-dame-des-victoires"
"Comp","Commissionsgeschäft","Beamte","13","Rue Poissonnière","Rue Poissonnière"
"Comp","Artikel von Paris","Beamte","11","Rue Poissonnière","Rue Poissonnière"
"Comp","Stein- und Buchdruckerei","Handel","13","Rue Rougemont","Rue Rougemont"
"Comp","Bankier","Beamte","28","Rue Saint-georges","Rue Saint-georges"
"Comp","Lichtschirm- und geographische Reliefkarten-Fabrik","Handel","24","Rue Vendôme","Rue Béranger"
"Comp","Spiegel- u. Fensterglas","Beamte","34","Rue Vieille-du-temple","Rue Vieille-du-temple"
