"id","houseno","houseno_specification","geo_long","geo_lat","address_specification_verbatim","street_id"
"4684","12",NULL,"2.32678","48.8484",NULL,"444"
"4685","41",NULL,"2.33599","48.8672",NULL,"304"
"4686","31",NULL,"2.33599","48.8672",NULL,"304"
"4687","16",NULL,"2.33599","48.8672",NULL,"304"
"4688","19",NULL,"2.33599","48.8672",NULL,"304"
"4689","11",NULL,"2.33599","48.8672",NULL,"304"
"4690","7",NULL,"2.35386","48.869",NULL,"684"
"4691","12",NULL,"2.33694","48.8542",NULL,"263"
"4692","34",NULL,"2.35572","48.8584",NULL,"685"
"4693","3",NULL,"2.32824","48.8725",NULL,"1022"
